idols,name,kana,lat,lon
"四条貴音,高山紗代子",高山市高根町中洞,たかやまし たかねまちなかぼら,36.074628,137.453641
"四条貴音,高山紗代子",高山市高根町野麦,たかやまし たかねまちのむぎ,36.060282,137.578927
"四条貴音,高山紗代子",高山市高根町日影,たかやまし たかねまちひかげ,36.003792,137.475436
"四条貴音,高山紗代子",高山市高根町日和田,たかやまし たかねまちひわだ,35.974234,137.487624
"高山紗代子,馬場このみ",高山市馬場町一丁目,たかやまし ばばまち 1,36.140654,137.261852
"高山紗代子,馬場このみ",高山市馬場町二丁目,たかやまし ばばまち 2,36.142947,137.262278
"双海亜美,双海真美",羽島郡笠松町二見町,はしまぐんかさまつちょう ふたみちょう,35.371136,136.762864
"田中琴葉,福田のり子",磐田市福田中島,いわたし ふくでなかじま,34.672952,137.869811
"ロコ,篠宮可憐",半田市乙川西ノ宮町一丁目,はんだし おつかわにしのみやちょう 1,34.911578,136.943315
"ロコ,篠宮可憐",半田市乙川西ノ宮町二丁目,はんだし おつかわにしのみやちょう 2,34.911376,136.941987
"ロコ,篠宮可憐",半田市乙川西ノ宮町三丁目,はんだし おつかわにしのみやちょう 3,34.91179,136.940689
"春日未来,ロコ",半田市春日町一丁目,はんだし かすがちょう 1,34.883314,136.919079
"春日未来,ロコ",半田市春日町二丁目,はんだし かすがちょう 2,34.884285,136.917654
"春日未来,ロコ",半田市春日町三丁目,はんだし かすがちょう 3,34.885045,136.916442
"四条貴音,ロコ",半田市亀崎高根町一丁目,はんだし かめざきたかねちょう 1,34.924832,136.958044
"四条貴音,ロコ",半田市亀崎高根町二丁目,はんだし かめざきたかねちょう 2,34.921825,136.959701
"四条貴音,ロコ",半田市亀崎高根町三丁目,はんだし かめざきたかねちょう 3,34.922618,136.956143
"四条貴音,ロコ",半田市亀崎高根町四丁目,はんだし かめざきたかねちょう 4,34.921139,136.955875
"四条貴音,ロコ",半田市亀崎高根町五丁目,はんだし かめざきたかねちょう 5,34.920826,136.957957
